tstamp,consumed_heat,temp,cloud,day_of_week,holiday_in_general,school_holiday_period,public_holiday_period,wind_direction,wind_speed
01/01/2012 00:00,21.44108,-8.8,13,Sunday,1,1,1,0,0
01/01/2012 01:00,21.63608,-8.5,13,Sunday,1,1,1,0,0
01/01/2012 02:00,21.19558,-8.8,13,Sunday,1,1,1,130,1
01/01/2012 03:00,20.775913,-8.2,13,Sunday,1,1,1,130,1
01/01/2012 04:00,20.453913,-6.7,13,Sunday,1,1,1,110,1
01/01/2012 05:00,20.431313,-5.2,13,Sunday,1,1,1,130,1
01/01/2012 06:00,20.47948,-4.8,13,Sunday,1,1,1,100,2
01/01/2012 07:00,20.22948,-3.9,27.5,Sunday,1,1,1,110,2
01/01/2012 08:00,19.96348,-2.5,42,Sunday,1,1,1,150,2
01/01/2012 09:00,21.03448,-1.3,56.5,Sunday,1,1,1,140,3
01/01/2012 10:00,22.02848,0.5,71,Sunday,1,1,1,140,4
01/01/2012 11:00,22.68848,1.2,85.5,Sunday,1,1,1,150,4
01/01/2012 12:00,22.87648,1.3,100,Sunday,1,1,1,130,4
01/01/2012 13:00,22.35048,1.6,100,Sunday,1,1,1,140,4
01/01/2012 14:00,22.09148,1.6,100,Sunday,1,1,1,140,5
01/01/2012 15:00,21.88348,1.6,100,Sunday,1,1,1,140,7
01/01/2012 16:00,21.74848,1.5,100,Sunday,1,1,1,140,6
01/01/2012 17:00,21.15248,1.9,100,Sunday,1,1,1,140,5
01/01/2012 18:00,20.93148,2.4,100,Sunday,1,1,1,150,5
01/01/2012 19:00,20.88048,2.2,100,Sunday,1,1,1,140,4
01/01/2012 20:00,19.60648,2.8,100,Sunday,1,1,1,140,3
01/01/2012 21:00,19.48848,3.3,100,Sunday,1,1,1,180,2
01/01/2012 22:00,18.86348,3.2,100,Sunday,1,1,1,150,3
01/01/2012 23:00,17.25648,3.2,100,Sunday,1,1,1,170,3
02/01/2012 00:00,16.373093,3.1,100,Monday,1,1,0,130,3
02/01/2012 01:00,15.306093,3.4,100,Monday,1,1,0,170,3
02/01/2012 02:00,14.863093,3.9,100,Monday,1,1,0,160,3
02/01/2012 03:00,14.246093,3.9,100,Monday,1,1,0,140,2
02/01/2012 04:00,14.297093,4.3,100,Monday,1,1,0,150,4
